setting,bound,risk_score,action,cal_gain,cal_harm,cal_harmed_rate,ucb_harmed_rate,cal_drop_gt_0.05,ucb_drop_gt_0.05,cal_mean_harm,ucb_mean_harm,failed
ISIC / UNet,clopper_pearson,change_plus_geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.252,0.343,0.000,0.023,0.0002,0.1088,"harm_rate,mean_harm"
ISIC / UNet,clopper_pearson,changed,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0028,0.0006,0.278,0.368,0.002,0.027,0.0006,0.1065,"harm_rate,mean_harm"
ISIC / UNet,clopper_pearson,geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.250,0.341,0.000,0.023,0.0002,0.1088,"harm_rate,mean_harm"
ISIC / UNet,clopper_pearson,host_uncertainty,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0001,0.218,0.306,0.000,0.024,0.0001,0.1094,"harm_rate,mean_harm"
ISIC / UNet,empirical_bernstein,change_plus_geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.252,0.428,0.000,0.077,0.0002,0.0778,"harm_rate,mean_harm"
ISIC / UNet,empirical_bernstein,changed,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0028,0.0006,0.278,0.451,0.002,0.086,0.0006,0.0755,"harm_rate,mean_harm"
ISIC / UNet,empirical_bernstein,geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.250,0.426,0.000,0.077,0.0002,0.0778,"harm_rate,mean_harm"
ISIC / UNet,empirical_bernstein,host_uncertainty,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0001,0.218,0.391,0.000,0.078,0.0001,0.0785,"harm_rate,mean_harm"
ISIC / UNet,hoeffding,change_plus_geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.252,0.361,0.000,0.109,0.0002,0.1088,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,hoeffding,changed,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0028,0.0006,0.278,0.384,0.002,0.108,0.0006,0.1065,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,hoeffding,geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.250,0.359,0.000,0.109,0.0002,0.1088,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,hoeffding,host_uncertainty,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0001,0.218,0.327,0.000,0.109,0.0001,0.1094,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,clopper_pearson,change_plus_geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.323,0.013,0.156,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,clopper_pearson,changed,kvasir_seg_mediafinal_graphseg_e120_zoo:prob_gaussian_lcc:a1.25,+0.0058,0.0012,0.040,0.205,0.013,0.156,0.0012,0.2595,"drop05_rate,mean_harm"
Kvasir / GraphSeg,clopper_pearson,geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.323,0.013,0.156,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,clopper_pearson,host_uncertainty,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0150,0.0058,0.133,0.341,0.053,0.228,0.0058,0.2649,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,empirical_bernstein,change_plus_geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.742,0.013,0.521,0.0020,0.4521,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,empirical_bernstein,changed,kvasir_seg_mediafinal_graphseg_e120_zoo:prob_gaussian_lcc:a1.25,+0.0058,0.0012,0.040,0.591,0.013,0.520,0.0012,0.4500,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,empirical_bernstein,geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.742,0.013,0.521,0.0020,0.4521,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,empirical_bernstein,host_uncertainty,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0150,0.0058,0.133,0.765,0.053,0.623,0.0058,0.4654,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,hoeffding,change_plus_geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.379,0.013,0.272,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,hoeffding,changed,kvasir_seg_mediafinal_graphseg_e120_zoo:prob_gaussian_lcc:a1.25,+0.0058,0.0012,0.040,0.298,0.013,0.272,0.0012,0.2595,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,hoeffding,geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.379,0.013,0.272,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,hoeffding,host_uncertainty,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0150,0.0058,0.133,0.392,0.053,0.312,0.0058,0.2649,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,clopper_pearson,change_plus_geom,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,+0.0010,0.0003,0.173,0.389,0.000,0.125,0.0003,0.2583,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,clopper_pearson,changed,kvasir_seg_mediafinal_unet_e120_zoo:binary_morph:a3.00,+0.0027,0.0002,0.240,0.464,0.000,0.123,0.0002,0.2567,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,clopper_pearson,geom,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,+0.0010,0.0003,0.173,0.389,0.000,0.125,0.0003,0.2583,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,clopper_pearson,host_uncertainty,kvasir_seg_mediafinal_unet_e120_zoo:close_only:a11.00,+0.0012,0.0003,0.200,0.422,0.000,0.126,0.0003,0.2593,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,empirical_bernstein,change_plus_geom,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,+0.0010,0.0003,0.173,0.823,0.000,0.443,0.0003,0.4441,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,empirical_bernstein,changed,kvasir_seg_mediafinal_unet_e120_zoo:binary_morph:a3.00,+0.0027,0.0002,0.240,0.910,0.000,0.439,0.0002,0.4392,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,empirical_bernstein,geom,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,+0.0010,0.0003,0.173,0.823,0.000,0.443,0.0003,0.4441,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,empirical_bernstein,host_uncertainty,kvasir_seg_mediafinal_unet_e120_zoo:close_only:a11.00,+0.0012,0.0003,0.200,0.865,0.000,0.447,0.0003,0.4474,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,hoeffding,change_plus_geom,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,+0.0010,0.0003,0.173,0.431,0.000,0.258,0.0003,0.2583,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,hoeffding,changed,kvasir_seg_mediafinal_unet_e120_zoo:binary_morph:a3.00,+0.0027,0.0002,0.240,0.497,0.000,0.257,0.0002,0.2567,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,hoeffding,geom,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,+0.0010,0.0003,0.173,0.431,0.000,0.258,0.0003,0.2583,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,hoeffding,host_uncertainty,kvasir_seg_mediafinal_unet_e120_zoo:close_only:a11.00,+0.0012,0.0003,0.200,0.459,0.000,0.259,0.0003,0.2593,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,clopper_pearson,change_plus_geom,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:remove_small:a50.00,+0.0155,0.0048,0.131,0.269,0.025,0.117,0.0048,0.1880,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,clopper_pearson,changed,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:close_only:a11.00,+0.0029,0.0008,0.156,0.297,0.000,0.063,0.0008,0.1816,"harm_rate,mean_harm"
MSD Heart MRI / GraphSeg,clopper_pearson,geom,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:remove_small:a50.00,+0.0155,0.0048,0.131,0.269,0.025,0.117,0.0048,0.1880,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,clopper_pearson,host_uncertainty,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:binary_morph:a11.00,+0.0115,0.0010,0.013,0.094,0.013,0.094,0.0010,0.1849,mean_harm
MSD Heart MRI / GraphSeg,empirical_bernstein,change_plus_geom,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:remove_small:a50.00,+0.0155,0.0048,0.131,0.483,0.025,0.307,0.0048,0.2351,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,empirical_bernstein,changed,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:close_only:a11.00,+0.0029,0.0008,0.156,0.511,0.000,0.217,0.0008,0.2192,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,empirical_bernstein,geom,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:remove_small:a50.00,+0.0155,0.0048,0.131,0.483,0.025,0.307,0.0048,0.2351,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,empirical_bernstein,host_uncertainty,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:binary_morph:a11.00,+0.0115,0.0010,0.013,0.279,0.013,0.279,0.0010,0.2280,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,hoeffding,change_plus_geom,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:remove_small:a50.00,+0.0155,0.0048,0.131,0.314,0.025,0.208,0.0048,0.1880,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,hoeffding,changed,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:close_only:a11.00,+0.0029,0.0008,0.156,0.337,0.000,0.181,0.0008,0.1816,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,hoeffding,geom,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:remove_small:a50.00,+0.0155,0.0048,0.131,0.314,0.025,0.208,0.0048,0.1880,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,hoeffding,host_uncertainty,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:binary_morph:a11.00,+0.0115,0.0010,0.013,0.196,0.013,0.196,0.0010,0.1849,"drop05_rate,mean_harm"
MSD Heart MRI / UNet,clopper_pearson,change_plus_geom,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a9.00,+0.0013,0.0003,0.156,0.296,0.000,0.063,0.0003,0.1800,"harm_rate,mean_harm"
MSD Heart MRI / UNet,clopper_pearson,changed,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a11.00,+0.0012,0.0002,0.138,0.264,0.000,0.057,0.0002,0.1710,"harm_rate,mean_harm"
MSD Heart MRI / UNet,clopper_pearson,geom,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a9.00,+0.0013,0.0003,0.156,0.296,0.000,0.063,0.0003,0.1800,"harm_rate,mean_harm"
MSD Heart MRI / UNet,clopper_pearson,host_uncertainty,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a5.00,+0.0004,0.0001,0.062,0.177,0.000,0.065,0.0001,0.1840,mean_harm
MSD Heart MRI / UNet,empirical_bernstein,change_plus_geom,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a9.00,+0.0013,0.0003,0.156,0.508,0.000,0.214,0.0003,0.2152,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / UNet,empirical_bernstein,changed,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a11.00,+0.0012,0.0002,0.138,0.457,0.000,0.196,0.0002,0.1962,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / UNet,empirical_bernstein,geom,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a9.00,+0.0013,0.0003,0.156,0.508,0.000,0.214,0.0003,0.2152,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / UNet,empirical_bernstein,host_uncertainty,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a5.00,+0.0004,0.0001,0.062,0.379,0.000,0.223,0.0001,0.2238,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / UNet,hoeffding,change_plus_geom,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a9.00,+0.0013,0.0003,0.156,0.336,0.000,0.180,0.0003,0.1800,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / UNet,hoeffding,changed,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a11.00,+0.0012,0.0002,0.138,0.308,0.000,0.171,0.0002,0.1710,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / UNet,hoeffding,geom,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a9.00,+0.0013,0.0003,0.156,0.336,0.000,0.180,0.0003,0.1800,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / UNet,hoeffding,host_uncertainty,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a5.00,+0.0004,0.0001,0.062,0.246,0.000,0.184,0.0001,0.1840,"drop05_rate,mean_harm"
PH2 / UNet,clopper_pearson,change_plus_geom,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0027,0.0002,0.133,0.606,0.000,0.428,0.0002,0.5286,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,clopper_pearson,changed,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0027,0.0002,0.133,0.606,0.000,0.427,0.0002,0.5281,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,clopper_pearson,geom,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0027,0.0002,0.133,0.606,0.000,0.428,0.0002,0.5286,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,clopper_pearson,host_uncertainty,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0028,0.0000,0.000,0.433,0.000,0.433,0.0000,0.5326,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,empirical_bernstein,change_plus_geom,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0027,0.0002,0.133,1.000,0.000,1.000,0.0002,1.0000,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,empirical_bernstein,changed,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0027,0.0002,0.133,1.000,0.000,1.000,0.0002,1.0000,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,empirical_bernstein,geom,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0027,0.0002,0.133,1.000,0.000,1.000,0.0002,1.0000,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,empirical_bernstein,host_uncertainty,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0028,0.0000,0.000,1.000,0.000,1.000,0.0000,1.0000,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,hoeffding,change_plus_geom,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0027,0.0002,0.133,0.662,0.000,0.528,0.0002,0.5286,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,hoeffding,changed,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0027,0.0002,0.133,0.661,0.000,0.528,0.0002,0.5281,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,hoeffding,geom,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0027,0.0002,0.133,0.662,0.000,0.528,0.0002,0.5286,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,hoeffding,host_uncertainty,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,+0.0028,0.0000,0.000,0.533,0.000,0.533,0.0000,0.5326,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,clopper_pearson,change_plus_geom,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0117,0.0021,0.313,0.418,0.003,0.035,0.0021,0.1218,"harm_rate,mean_harm"
Polyp ext. / GraphSeg,clopper_pearson,changed,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0108,0.0017,0.268,0.369,0.003,0.034,0.0017,0.1205,"harm_rate,mean_harm"
Polyp ext. / GraphSeg,clopper_pearson,geom,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0114,0.0019,0.301,0.405,0.003,0.035,0.0019,0.1216,"harm_rate,mean_harm"
Polyp ext. / GraphSeg,clopper_pearson,host_uncertainty,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0117,0.0021,0.316,0.421,0.003,0.035,0.0021,0.1220,"harm_rate,mean_harm"
Polyp ext. / GraphSeg,empirical_bernstein,change_plus_geom,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0117,0.0021,0.313,0.524,0.003,0.109,0.0021,0.0978,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,empirical_bernstein,changed,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0108,0.0017,0.268,0.472,0.003,0.108,0.0017,0.0961,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,empirical_bernstein,geom,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0114,0.0019,0.301,0.510,0.003,0.109,0.0019,0.0976,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,empirical_bernstein,host_uncertainty,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0117,0.0021,0.316,0.527,0.003,0.110,0.0021,0.0981,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,hoeffding,change_plus_geom,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0117,0.0021,0.313,0.433,0.003,0.122,0.0021,0.1218,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,hoeffding,changed,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0108,0.0017,0.268,0.387,0.003,0.121,0.0017,0.1205,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,hoeffding,geom,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0114,0.0019,0.301,0.420,0.003,0.122,0.0019,0.1216,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,hoeffding,host_uncertainty,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,+0.0117,0.0021,0.316,0.436,0.003,0.122,0.0021,0.1220,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,clopper_pearson,change_plus_geom,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0078,0.0007,0.175,0.267,0.003,0.035,0.0007,0.1199,"harm_rate,mean_harm"
Polyp ext. / UNet,clopper_pearson,changed,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0118,0.0022,0.221,0.315,0.015,0.058,0.0022,0.1196,"harm_rate,mean_harm"
Polyp ext. / UNet,clopper_pearson,geom,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0077,0.0007,0.168,0.258,0.003,0.035,0.0007,0.1199,"harm_rate,mean_harm"
Polyp ext. / UNet,clopper_pearson,host_uncertainty,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0036,0.0009,0.158,0.247,0.005,0.041,0.0009,0.1207,mean_harm
Polyp ext. / UNet,empirical_bernstein,change_plus_geom,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0078,0.0007,0.175,0.364,0.003,0.109,0.0007,0.0953,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,empirical_bernstein,changed,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0118,0.0022,0.221,0.413,0.015,0.136,0.0022,0.0960,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,empirical_bernstein,geom,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0077,0.0007,0.168,0.355,0.003,0.109,0.0007,0.0952,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,empirical_bernstein,host_uncertainty,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0036,0.0009,0.158,0.344,0.005,0.117,0.0009,0.0970,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,hoeffding,change_plus_geom,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0078,0.0007,0.175,0.295,0.003,0.122,0.0007,0.1199,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,hoeffding,changed,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0118,0.0022,0.221,0.338,0.015,0.132,0.0022,0.1196,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,hoeffding,geom,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0077,0.0007,0.168,0.287,0.003,0.122,0.0007,0.1199,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,hoeffding,host_uncertainty,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,+0.0036,0.0009,0.158,0.278,0.005,0.125,0.0009,0.1207,"harm_rate,drop05_rate,mean_harm"
