setting,risk_score,bound,action,threshold,cal_gain,cal_harm,cal_harmed_rate,ucb_harmed_rate,cal_drop_gt_0.05,ucb_drop_gt_0.05,cal_mean_harm,ucb_mean_harm,failed
ISIC / UNet,change_plus_geom,hoeffding,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,0.2312,+0.0024,0.0002,0.252,0.361,0.000,0.109,0.0002,0.1088,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,changed,hoeffding,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,0.0379,+0.0028,0.0006,0.278,0.384,0.002,0.108,0.0006,0.1065,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,geom,hoeffding,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,0.2140,+0.0024,0.0002,0.250,0.359,0.000,0.109,0.0002,0.1088,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,host_uncertainty,hoeffding,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,0.2718,+0.0024,0.0001,0.218,0.327,0.000,0.109,0.0001,0.1094,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,change_plus_geom,hoeffding,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,0.5720,+0.0220,0.0020,0.120,0.379,0.013,0.272,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,changed,hoeffding,kvasir_seg_mediafinal_graphseg_e120_zoo:prob_gaussian_lcc:a1.25,0.0197,+0.0058,0.0012,0.040,0.298,0.013,0.272,0.0012,0.2595,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,geom,hoeffding,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,0.5183,+0.0220,0.0020,0.120,0.379,0.013,0.272,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,host_uncertainty,hoeffding,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,0.6168,+0.0150,0.0058,0.133,0.392,0.053,0.312,0.0058,0.2649,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,change_plus_geom,hoeffding,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,0.2065,+0.0010,0.0003,0.173,0.431,0.000,0.258,0.0003,0.2583,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,changed,hoeffding,kvasir_seg_mediafinal_unet_e120_zoo:binary_morph:a3.00,0.0115,+0.0027,0.0002,0.240,0.497,0.000,0.257,0.0002,0.2567,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,geom,hoeffding,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,0.2045,+0.0010,0.0003,0.173,0.431,0.000,0.258,0.0003,0.2583,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,host_uncertainty,hoeffding,kvasir_seg_mediafinal_unet_e120_zoo:close_only:a11.00,0.0812,+0.0012,0.0003,0.200,0.459,0.000,0.259,0.0003,0.2593,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,change_plus_geom,hoeffding,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:remove_small:a50.00,0.2141,+0.0155,0.0048,0.131,0.314,0.025,0.208,0.0048,0.1880,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,changed,hoeffding,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:close_only:a11.00,0.0014,+0.0029,0.0008,0.156,0.337,0.000,0.181,0.0008,0.1816,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,geom,hoeffding,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:remove_small:a50.00,0.2140,+0.0155,0.0048,0.131,0.314,0.025,0.208,0.0048,0.1880,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / GraphSeg,host_uncertainty,hoeffding,msd_heart_mri_mediafinal_graphseg_mri_e120_zoo:binary_morph:a11.00,0.0029,+0.0115,0.0010,0.013,0.196,0.013,0.196,0.0010,0.1849,"drop05_rate,mean_harm"
MSD Heart MRI / UNet,change_plus_geom,hoeffding,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a9.00,0.0010,+0.0013,0.0003,0.156,0.336,0.000,0.180,0.0003,0.1800,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / UNet,changed,hoeffding,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a11.00,0.0002,+0.0012,0.0002,0.138,0.308,0.000,0.171,0.0002,0.1710,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / UNet,geom,hoeffding,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a9.00,0.0008,+0.0013,0.0003,0.156,0.336,0.000,0.180,0.0003,0.1800,"harm_rate,drop05_rate,mean_harm"
MSD Heart MRI / UNet,host_uncertainty,hoeffding,msd_heart_mri_mediafinal_unet_mri_e120_zoo:close_only:a5.00,0.0015,+0.0004,0.0001,0.062,0.246,0.000,0.184,0.0001,0.1840,"drop05_rate,mean_harm"
PH2 / UNet,change_plus_geom,hoeffding,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,0.0959,+0.0027,0.0002,0.133,0.662,0.000,0.528,0.0002,0.5286,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,changed,hoeffding,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,0.0159,+0.0027,0.0002,0.133,0.661,0.000,0.528,0.0002,0.5281,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,geom,hoeffding,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,0.0849,+0.0027,0.0002,0.133,0.662,0.000,0.528,0.0002,0.5286,"harm_rate,drop05_rate,mean_harm"
PH2 / UNet,host_uncertainty,hoeffding,ph2_mediafinal_unet_e120_zoo:largest_cc:a0.00,0.2259,+0.0028,0.0000,0.000,0.533,0.000,0.533,0.0000,0.5326,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,change_plus_geom,hoeffding,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,0.4868,+0.0117,0.0021,0.313,0.433,0.003,0.122,0.0021,0.1218,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,changed,hoeffding,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,0.0209,+0.0108,0.0017,0.268,0.387,0.003,0.121,0.0017,0.1205,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,geom,hoeffding,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,0.3741,+0.0114,0.0019,0.301,0.420,0.003,0.122,0.0019,0.1216,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / GraphSeg,host_uncertainty,hoeffding,polyps_official_mediafinal_graphseg_e120_zoo:close_only:a11.00,0.7723,+0.0117,0.0021,0.316,0.436,0.003,0.122,0.0021,0.1220,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,change_plus_geom,hoeffding,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,0.1202,+0.0078,0.0007,0.175,0.295,0.003,0.122,0.0007,0.1199,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,changed,hoeffding,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,0.0147,+0.0118,0.0022,0.221,0.338,0.015,0.132,0.0022,0.1196,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,geom,hoeffding,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,0.1081,+0.0077,0.0007,0.168,0.287,0.003,0.122,0.0007,0.1199,"harm_rate,drop05_rate,mean_harm"
Polyp ext. / UNet,host_uncertainty,hoeffding,polyps_official_mediafinal_unet_e120_zoo:binary_morph:a11.00,0.0732,+0.0036,0.0009,0.158,0.278,0.005,0.125,0.0009,0.1207,"harm_rate,drop05_rate,mean_harm"
